id_usuario,deuda_total,meses_mora
86,3255453,10
719,5497853,16
206,11579335,5
54,9769989,13
114,966898,5
210,10966935,11
236,7876622,21
584,2728889,18
400,14771475,8
581,13663355,14
475,14912351,11
712,7768784,18
582,3939153,12
442,13267994,9
16,6165446,21
529,4382463,4
766,9954343,17
334,707642,3
784,2494499,17
329,6887439,18
85,1984294,17
57,1583929,16
154,9480169,21
194,10442986,12
455,4135802,6
298,11460437,15
720,11006469,5
247,9836482,5
560,7644097,23
192,2150530,11
254,2027634,19
652,12156839,15
246,5215242,11
195,11048139,8
255,9568449,11
167,9171736,5
97,4839875,3
374,13449090,23
436,9844379,19
541,14003762,14
150,13942484,13
176,3692428,4
279,7771949,19
491,4128259,17
514,11231602,16
307,2655754,16
78,3144948,13
243,10280322,22
338,8806765,6
686,14375383,4
240,2398579,12
196,1897772,9
92,6152854,13
123,12391565,7
682,2211013,14
7,3715234,20
272,7914466,14
197,11766854,10
199,9582520,7
302,8570612,8
349,7066339,18
38,6679702,23
277,14409823,7
731,14271054,3
441,6621097,10
569,2325948,19
278,5040778,7
570,14326463,11
525,8650623,18
425,9469437,16
275,3509289,15
774,13828709,18
155,9263683,7
124,2148397,5
452,8336104,23
749,12178711,11
60,7443548,20
135,6310132,4
251,3901182,5
179,9646199,12
4,5759141,18
267,2181681,12
376,14529233,21
216,8113952,17
106,914785,23
553,13003210,5
741,8711285,20
271,12693936,22
56,5647656,5
264,13564007,4
259,4608370,8
332,1619104,10
138,5614866,8
352,4904075,9
680,1614641,17
523,12301573,13
180,9811369,21
182,1694992,20
219,4815766,8
505,11067320,4
102,3823816,23
750,7856955,14
726,9604149,6
40,3836964,13
76,9425579,10
297,4401737,18
612,11261649,15
380,13937157,20
157,10088153,23
284,13308510,23
527,6544668,18
366,7070725,16
20,6620109,15
23,3785384,19
567,3677170,17
649,9946004,8
409,12016776,11
33,2252881,7
276,9448360,8
693,11882283,11
171,5892189,5
520,12560337,16
89,3810218,12
432,5658375,9
657,14380651,19
492,14064054,20
315,4477912,21
391,2005304,20
30,11782425,3
539,6379251,20
530,9664220,8
672,11317312,5
372,6350604,13
459,10828824,18
211,4489388,15
225,4709621,11
172,8223497,20
141,14520269,8
73,14047973,21
496,8685685,7
346,8512352,9
413,9065937,21
144,2617289,19
292,1822230,13
451,8428753,16
628,13155622,8
465,4453114,5
244,11507819,4
510,12955329,17
460,3159537,10
345,7771380,23
224,4654126,13
739,7204939,5
551,3224998,15
306,13719587,17
696,1683190,18
602,11708025,17
344,7325572,7
694,8598226,10
178,6838748,12
120,2767815,9
337,14732841,21
783,12049650,15
300,1707208,9
285,11750813,5
208,14354953,14
226,8231162,14
125,12756040,5
671,4083542,23
658,13801217,14
359,4334168,19
393,3269962,6
536,10821599,3
301,8833626,12
688,12414889,11
423,7049736,17
273,2096985,8
121,5220469,5
770,5574001,7
103,2918358,20
153,13018930,23
136,6895106,10
66,12437679,16
146,9248173,18
639,5933745,5
282,11604321,16
631,2126187,22
485,5905757,13
470,5476093,8
488,5693437,14
404,6054557,16
290,9608276,13
186,6758683,16
263,1891251,22
522,7799592,13
461,13521917,19
266,7180062,4
83,2291267,21
139,8672910,14
769,9726219,22
644,6292974,13
792,12785163,22
200,2221946,20
683,10370158,12
227,7143902,10
509,9896225,9
622,12040361,8
322,2347397,7
63,12924463,22
168,6405169,5
521,6618605,21
107,11750027,7
309,8258008,5
772,6434740,10
705,14398192,14
463,5761193,15
710,693001,3
474,2575870,5
127,7177168,17
494,13090615,11
438,10320625,7
515,14115602,19
410,10326115,11
