id_usuario,fecha_acta,tipo_irregularidad,energia_no_facturada_kwh
86,2024-07-31 12:16:35.649337,Manipulación de medidor,843.3050778644969
719,2024-07-31 12:16:35.649337,Manipulación de medidor,1030.642109080281
206,2024-06-30 12:16:35.649337,Conexión directa,988.1315924043656
54,2023-12-31 12:16:35.649337,Bypass,1309.5358660101315
114,2025-04-30 12:16:35.649337,Conexión directa,1173.9170786140166
210,2025-02-28 12:16:35.649337,Manipulación de medidor,728.7542940110607
236,2025-10-31 12:16:35.649337,Bypass,741.2621887365312
584,2025-03-31 12:16:35.649337,Manipulación de medidor,651.8355104594765
400,2024-03-31 12:16:35.649337,Manipulación de medidor,648.7976487670348
581,2025-09-30 12:16:35.649337,Conexión directa,671.7848910737373
475,2025-02-28 12:16:35.649337,Bypass,640.5763711994261
712,2024-11-30 12:16:35.649337,Bypass,730.7581037053113
582,2024-01-31 12:16:35.649337,Conexión directa,862.4373661339974
442,2024-01-31 12:16:35.649337,Conexión directa,809.2930850712963
16,2025-08-31 12:16:35.649337,Manipulación de medidor,842.06555778331
529,2025-05-31 12:16:35.649337,Manipulación de medidor,662.4106879859152
766,2024-12-31 12:16:35.649337,Conexión directa,711.1775145496789
334,2024-08-31 12:16:35.649337,Conexión directa,1066.6627957464116
784,2025-03-31 12:16:35.649337,Manipulación de medidor,929.5797169779125
329,2024-08-31 12:16:35.649337,Conexión directa,616.3535240057173
85,2025-08-31 12:16:35.649337,Conexión directa,827.9899877183378
57,2024-03-31 12:16:35.649337,Bypass,721.1532959831702
154,2024-04-30 12:16:35.649337,Conexión directa,881.833096734627
194,2024-04-30 12:16:35.649337,Manipulación de medidor,858.4850670161701
455,2025-08-31 12:16:35.649337,Bypass,1209.6966955136543
298,2024-03-31 12:16:35.649337,Manipulación de medidor,756.1071192923265
720,2024-04-30 12:16:35.649337,Bypass,670.2625357889351
247,2025-08-31 12:16:35.649337,Manipulación de medidor,1029.5583193795292
560,2025-06-30 12:16:35.649337,Manipulación de medidor,955.6133446813925
192,2025-10-31 12:16:35.649337,Manipulación de medidor,1048.785377715917
194,2024-06-30 12:16:35.649337,Manipulación de medidor,1009.3615204634096
206,2024-05-31 12:16:35.649337,Bypass,684.6816085099008
254,2024-03-31 12:16:35.649337,Conexión directa,701.7262876425891
652,2024-10-31 12:16:35.649337,Bypass,675.2225474807341
246,2025-03-31 12:16:35.649337,Manipulación de medidor,821.844692458638
195,2024-01-31 12:16:35.649337,Bypass,697.7419979397107
255,2024-08-31 12:16:35.649337,Conexión directa,1317.3413480744582
167,2025-01-31 12:16:35.649337,Conexión directa,689.9916033905533
97,2024-03-31 12:16:35.649337,Manipulación de medidor,1052.8559366115203
374,2025-06-30 12:16:35.649337,Bypass,639.9332444162751
436,2024-05-31 12:16:35.649337,Conexión directa,809.4959338669419
541,2025-04-30 12:16:35.649337,Manipulación de medidor,694.0884740835663
150,2025-02-28 12:16:35.649337,Conexión directa,891.4332464739061
176,2024-06-30 12:16:35.649337,Manipulación de medidor,614.2595593953486
279,2025-06-30 12:16:35.649337,Bypass,1110.641148168922
491,2025-06-30 12:16:35.649337,Bypass,756.1697085071023
514,2024-03-31 12:16:35.649337,Conexión directa,879.3374024580651
307,2024-10-31 12:16:35.649337,Bypass,733.4775865320411
78,2025-04-30 12:16:35.649337,Bypass,803.826181308525
243,2024-07-31 12:16:35.649337,Conexión directa,611.5283328757155
338,2024-07-31 12:16:35.649337,Bypass,971.5379763126853
686,2023-12-31 12:16:35.649337,Manipulación de medidor,647.5936731865415
240,2024-08-31 12:16:35.649337,Manipulación de medidor,1045.5209904113842
196,2024-04-30 12:16:35.649337,Manipulación de medidor,884.348835535058
92,2024-06-30 12:16:35.649337,Conexión directa,708.0811688054085
123,2024-11-30 12:16:35.649337,Manipulación de medidor,720.322901661076
682,2024-01-31 12:16:35.649337,Manipulación de medidor,1054.4835111771172
7,2025-07-31 12:16:35.649337,Manipulación de medidor,720.9351532585003
254,2024-01-31 12:16:35.649337,Conexión directa,678.6540419964143
272,2024-11-30 12:16:35.649337,Manipulación de medidor,883.3963371842656
197,2024-04-30 12:16:35.649337,Bypass,670.0967145219388
199,2025-03-31 12:16:35.649337,Conexión directa,1036.8106629112235
