id_usuario,tipo_usuario,estrato,barrio,estado
0,Residencial,6.0,Sur,Activo
1,Comercial,,Oriente,Activo
2,Residencial,4.0,Norte,Activo
3,Comercial,,Oriente,Activo
4,Residencial,6.0,Occidente,Activo
5,Residencial,1.0,Norte,Activo
6,Residencial,5.0,Occidente,Activo
7,Residencial,4.0,Sur,Activo
8,Residencial,6.0,Oriente,Activo
9,Comercial,,Oriente,Activo
10,Industrial,,Oriente,Activo
11,Residencial,6.0,Oriente,Activo
12,Industrial,,Oriente,Activo
13,Comercial,,Norte,Activo
14,Comercial,,Sur,Activo
15,Industrial,,Centro,Activo
16,Residencial,3.0,Sur,Activo
17,Residencial,5.0,Norte,Activo
18,Residencial,2.0,Centro,Activo
19,Residencial,2.0,Occidente,Activo
20,Residencial,3.0,Norte,Activo
21,Residencial,4.0,Norte,Activo
22,Residencial,6.0,Sur,Activo
23,Residencial,6.0,Centro,Activo
24,Industrial,,Occidente,Activo
25,Comercial,,Centro,Activo
26,Residencial,5.0,Oriente,Activo
27,Residencial,1.0,Oriente,Activo
28,Residencial,4.0,Oriente,Activo
29,Residencial,3.0,Centro,Activo
30,Residencial,2.0,Norte,Activo
31,Industrial,,Oriente,Activo
32,Comercial,,Oriente,Activo
33,Residencial,3.0,Oriente,Activo
34,Residencial,1.0,Sur,Activo
35,Industrial,,Oriente,Activo
36,Residencial,6.0,Occidente,Activo
37,Residencial,2.0,Sur,Activo
38,Comercial,,Occidente,Activo
39,Residencial,1.0,Norte,Activo
40,Residencial,2.0,Centro,Activo
41,Residencial,2.0,Oriente,Activo
42,Residencial,4.0,Norte,Activo
43,Industrial,,Norte,Activo
44,Residencial,4.0,Oriente,Activo
45,Residencial,5.0,Centro,Activo
46,Residencial,2.0,Centro,Activo
47,Residencial,4.0,Oriente,Activo
48,Comercial,,Centro,Activo
49,Industrial,,Centro,Activo
50,Residencial,6.0,Oriente,Activo
51,Residencial,6.0,Oriente,Activo
52,Residencial,6.0,Occidente,Activo
53,Comercial,,Occidente,Activo
54,Residencial,5.0,Oriente,Activo
55,Comercial,,Sur,Activo
56,Residencial,1.0,Norte,Activo
57,Residencial,3.0,Occidente,Activo
58,Residencial,4.0,Occidente,Activo
59,Residencial,3.0,Sur,Activo
60,Comercial,,Oriente,Activo
61,Industrial,,Occidente,Activo
62,Comercial,,Occidente,Activo
63,Residencial,2.0,Sur,Activo
64,Residencial,5.0,Norte,Activo
65,Industrial,,Occidente,Activo
66,Residencial,1.0,Oriente,Activo
67,Residencial,1.0,Sur,Activo
68,Comercial,,Oriente,Activo
69,Residencial,5.0,Sur,Activo
70,Residencial,4.0,Oriente,Activo
71,Residencial,6.0,Norte,Activo
72,Industrial,,Centro,Activo
73,Residencial,2.0,Sur,Activo
74,Residencial,2.0,Sur,Activo
75,Industrial,,Occidente,Activo
76,Residencial,1.0,Sur,Activo
77,Residencial,3.0,Oriente,Activo
78,Residencial,5.0,Sur,Activo
79,Residencial,2.0,Occidente,Activo
80,Residencial,3.0,Centro,Activo
81,Residencial,5.0,Occidente,Activo
82,Residencial,2.0,Occidente,Activo
83,Residencial,2.0,Oriente,Activo
84,Residencial,1.0,Centro,Activo
85,Residencial,3.0,Sur,Activo
86,Residencial,6.0,Oriente,Activo
87,Residencial,3.0,Oriente,Activo
88,Residencial,6.0,Oriente,Activo
89,Residencial,6.0,Sur,Activo
90,Residencial,3.0,Oriente,Activo
91,Comercial,,Occidente,Activo
92,Residencial,6.0,Centro,Activo
93,Comercial,,Occidente,Activo
94,Residencial,1.0,Centro,Activo
95,Industrial,,Oriente,Activo
96,Residencial,6.0,Centro,Activo
97,Residencial,1.0,Norte,Activo
98,Residencial,2.0,Oriente,Activo
99,Residencial,3.0,Oriente,Activo
100,Residencial,4.0,Sur,Activo
101,Comercial,,Centro,Activo
102,Residencial,5.0,Oriente,Activo
103,Residencial,5.0,Norte,Activo
104,Residencial,2.0,Oriente,Activo
105,Comercial,,Oriente,Activo
106,Residencial,4.0,Sur,Activo
107,Residencial,3.0,Oriente,Activo
108,Residencial,5.0,Occidente,Activo
109,Residencial,5.0,Norte,Activo
110,Comercial,,Norte,Activo
111,Comercial,,Norte,Activo
112,Comercial,,Centro,Activo
113,Residencial,2.0,Sur,Activo
114,Residencial,1.0,Sur,Activo
115,Comercial,,Centro,Activo
116,Residencial,1.0,Centro,Activo
117,Comercial,,Norte,Activo
118,Residencial,6.0,Centro,Activo
119,Industrial,,Centro,Activo
120,Residencial,6.0,Occidente,Activo
121,Residencial,5.0,Occidente,Activo
122,Industrial,,Sur,Activo
123,Comercial,,Sur,Activo
124,Residencial,1.0,Sur,Activo
125,Residencial,1.0,Sur,Activo
126,Residencial,3.0,Centro,Activo
127,Residencial,5.0,Sur,Activo
128,Residencial,2.0,Norte,Activo
129,Industrial,,Oriente,Activo
130,Residencial,6.0,Centro,Activo
131,Industrial,,Occidente,Activo
132,Residencial,3.0,Norte,Activo
133,Industrial,,Sur,Activo
134,Industrial,,Oriente,Activo
135,Residencial,4.0,Sur,Activo
136,Residencial,2.0,Centro,Activo
137,Residencial,5.0,Oriente,Activo
138,Residencial,3.0,Norte,Activo
139,Residencial,1.0,Oriente,Activo
140,Comercial,,Oriente,Activo
141,Residencial,1.0,Norte,Activo
142,Residencial,1.0,Centro,Activo
143,Residencial,2.0,Norte,Activo
144,Residencial,2.0,Occidente,Activo
145,Comercial,,Oriente,Activo
146,Residencial,4.0,Oriente,Activo
147,Residencial,1.0,Sur,Activo
148,Residencial,5.0,Centro,Activo
149,Residencial,2.0,Occidente,Activo
150,Residencial,1.0,Occidente,Activo
151,Residencial,2.0,Norte,Activo
152,Residencial,3.0,Oriente,Activo
153,Residencial,5.0,Sur,Activo
154,Residencial,4.0,Oriente,Activo
155,Residencial,3.0,Centro,Activo
156,Residencial,2.0,Sur,Activo
157,Residencial,3.0,Occidente,Activo
158,Residencial,4.0,Oriente,Activo
159,Residencial,3.0,Oriente,Activo
160,Residencial,5.0,Occidente,Activo
161,Residencial,6.0,Occidente,Activo
162,Residencial,4.0,Sur,Activo
163,Residencial,3.0,Sur,Activo
164,Residencial,3.0,Sur,Activo
165,Residencial,4.0,Centro,Activo
166,Residencial,3.0,Norte,Activo
167,Residencial,6.0,Norte,Activo
168,Residencial,2.0,Sur,Activo
169,Residencial,5.0,Sur,Activo
170,Residencial,1.0,Occidente,Activo
